6|12/09/2022|33.98|73.66|2.32|3.41|46997.52|Success: UPDATED in Fundamentals.
9|12/09/2022|11.02|25.03|0.91|6.32|9680.58|Success: UPDATED in Fundamentals.
11|12/09/2022|37.16|19.62|0.41|0.57|56.13|Success: UPDATED in Fundamentals.
14|12/09/2022|53.88|0.58|0|7.11|239.48|Success: UPDATED in Fundamentals.
17|12/09/2022|36.47|20.11|0.63|8.09|2143.77|Success: UPDATED in Fundamentals.
20|12/09/2022|9.48|49.92|1.58|1.72|1882.71|Success: UPDATED in Fundamentals.
23|12/09/2022|60.52|4.69|1.14|1.89|18027.34|Success: UPDATED in Fundamentals.
24|12/09/2022|2.71|3.24|0|1.29|48.93|Success: UPDATED in Fundamentals.
25|12/09/2022|15.34|0.44|0|68.06|10.23|Success: UPDATED in Fundamentals.
28|12/09/2022|0|0|0|0.53|61.46|Success: UPDATED in Fundamentals.
29|12/09/2022|8.71|12.52|0|0.95|2846.39|Success: UPDATED in Fundamentals.
31|12/09/2022|110.7|1.49|0.61|6.6|48421.52|Success: UPDATED in Fundamentals.
33|12/09/2022|0|0|0|0|175.24|Success: UPDATED in Fundamentals.
34|12/09/2022|91.58|37.48|0.56|24.66|329225.46|Success: UPDATED in Fundamentals.
37|12/09/2022|54.35|90.05|0.3|12.83|24193.95|Success: UPDATED in Fundamentals.
38|12/09/2022|0|0|0|0.61|125.2|Success: UPDATED in Fundamentals.
39|12/09/2022|116|28.6|0.3|16.22|8294|Success: UPDATED in Fundamentals.
43|12/09/2022|46.64|206.68|0.26|6.59|28452.15|Success: UPDATED in Fundamentals.
44|12/09/2022|29.41|32.9|0|3.49|589.2|Success: UPDATED in Fundamentals.
50|12/09/2022|45.33|146|1.74|4.79|73660.07|Success: UPDATED in Fundamentals.
51|12/09/2022|62.9|19.14|0.25|7.76|13844.16|Success: UPDATED in Fundamentals.
53|12/09/2022|0|0|0.76|0.98|1742.92|Success: UPDATED in Fundamentals.
54|12/09/2022|0|0|0|0|5.84|Success: UPDATED in Fundamentals.
55|12/09/2022|27.64|72.38|1.4|5.59|38676.97|Success: UPDATED in Fundamentals.
57|12/09/2022|34.98|80.26|0.36|2.47|3520.27|Success: UPDATED in Fundamentals.
58|12/09/2022|0.68|157.93|0|9.85|246.18|Success: UPDATED in Fundamentals.
59|12/09/2022|23.44|135.15|0.19|5.87|13713.84|Success: UPDATED in Fundamentals.
60|12/09/2022|84.22|22.68|2.85|13.53|24551.33|Success: UPDATED in Fundamentals.
61|12/09/2022|0|0|0|1.04|115.87|Success: UPDATED in Fundamentals.
62|12/09/2022|36.12|145.1|2.86|9.33|23551.45|Success: UPDATED in Fundamentals.
64|12/09/2022|76.1|8.74|0.47|17.16|64604.44|Success: UPDATED in Fundamentals.
67|12/09/2022|0|0|0|1.37|9.12|Success: UPDATED in Fundamentals.
68|12/09/2022|19.81|103.03|1.47|1.03|1153.57|Success: UPDATED in Fundamentals.
69|12/09/2022|33.71|23.29|0.89|5.14|36551.04|Success: UPDATED in Fundamentals.
70|12/09/2022|9.67|20.63|0|1.89|204.27|Success: UPDATED in Fundamentals.
76|12/09/2022|38.13|11.01|1.91|0.83|160.8|Success: UPDATED in Fundamentals.
77|12/09/2022|46.13|23.61|0.92|1.97|8387.93|Success: UPDATED in Fundamentals.
79|12/09/2022|9.52|9.02|0.58|1.05|891.19|Success: UPDATED in Fundamentals.
82|12/09/2022|59.28|19.3|0.87|10.93|11020.24|Success: UPDATED in Fundamentals.
84|12/09/2022|0|0|0.13|30.56|6455.3|Success: UPDATED in Fundamentals.
85|12/09/2022|0|0|0|0|2171.71|Success: UPDATED in Fundamentals.
88|12/09/2022|0|0|0|0.46|4578.66|Success: UPDATED in Fundamentals.
90|12/09/2022|47.64|380.51|1.52|13.66|38519.13|Success: UPDATED in Fundamentals.
92|12/09/2022|48.61|11.99|0|9.69|7601.67|Success: UPDATED in Fundamentals.
93|12/09/2022|60.53|60.57|1.54|36.76|88313.16|Success: UPDATED in Fundamentals.
99|12/09/2022|13.86|6.16|5.3|1.14|11313.74|Success: UPDATED in Fundamentals.
100|12/09/2022|45.94|11.82|0.28|3.01|1827.39|Success: UPDATED in Fundamentals.
101|12/09/2022|14.64|10.14|0|1.11|194.98|Success: UPDATED in Fundamentals.
102|12/09/2022|16.26|24.57|2.5|1.74|7803.3|Success: UPDATED in Fundamentals.
103|12/09/2022|65.06|13.92|0.39|9.89|17197.6|Success: UPDATED in Fundamentals.
104|12/09/2022|133.45|10.39|0.22|1.78|5608.41|Success: UPDATED in Fundamentals.
105|12/09/2022|24.55|4.71|0.39|1.76|1986.72|Success: UPDATED in Fundamentals.
106|12/09/2022|5.66|83.26|2.12|0.82|1029.24|Success: UPDATED in Fundamentals.
107|12/09/2022|44.61|20.99|0.43|2.67|10458.07|Success: UPDATED in Fundamentals.
111|12/09/2022|16.11|10.82|1.15|1.4|14815.5|Success: UPDATED in Fundamentals.
112|12/09/2022|22.29|0.52|0|0.32|42.08|Success: UPDATED in Fundamentals.
114|12/09/2022|29.37|36.25|0.47|3.82|85916.82|Success: UPDATED in Fundamentals.
117|12/09/2022|34.97|11.01|1.3|0.85|353.39|Success: UPDATED in Fundamentals.
118|12/09/2022|41.78|39.03|2.45|25.57|44348.62|Success: UPDATED in Fundamentals.
119|12/09/2022|25.99|17.31|0|2.51|1038.57|Success: UPDATED in Fundamentals.
120|12/09/2022|0|0|0|0.21|7.08|Success: UPDATED in Fundamentals.
