64|509480|BERGEPAINT|Berger Paints|Berger Paints India Ltd|INE463A01038|Paints / Varnishes|A|Success: UPDATED in HoldingSecurity.
67|509449||Bhagawati Oxygen|Bhagawati Oxygen Ltd|INE026I01010|Chemicals|XT|Success: UPDATED in HoldingSecurity.
68|503960|BBL|Bharat Bijlee|Bharat Bijlee Ltd|INE464A01028|Electric Equipment|B|Success: UPDATED in HoldingSecurity.
69|500493|BHARATFORG|Bharat Forge|Bharat Forge Ltd|INE465A01025|Castings & Forgings|A|Success: UPDATED in HoldingSecurity.
70|505688|BHARATGEAR|Bharat Gears|Bharat Gears Ltd|INE561C01019|Auto Ancillaries|B|Success: UPDATED in HoldingSecurity.
71|513028|BHARATPIPE|Bharat Pipes|Bharat Pipes & Fittings Ltd||Plastics Products|B|Success: INSERTED in HoldingSecurity.
72|502742|SINTEX|Sintex Inds.|Sintex Industries Ltd|INE429C01035|Textiles - Spinning - Synthetic / Blended|B|Success: UPDATED in HoldingSecurity.
76|505681|BIMETAL|Bimetal Bearings|Bimetal Bearings Ltd|INE469A01019|Bearings|X|Success: UPDATED in HoldingSecurity.
77|500335|BIRLACORPN|Birla Corpn.|Birla Corporation Ltd|INE340A01012|Cement - North India|A|Success: UPDATED in HoldingSecurity.
78|517001|BIRLAPOWER|Birla Power Sol.|Birla Power Solutions Ltd|INE224B01024|Electric Equipment|Z|Success: UPDATED in HoldingSecurity.
79|506197|BLISSGVS|Bliss GVS Pharma|Bliss GVS Pharma Ltd|INE416D01022|Pharmaceuticals - Indian - Formulations|B|Success: UPDATED in HoldingSecurity.
81|502761|BLUEBLENDS|Blue Blends (I)|Blue Blends (India) Ltd|INE113O01014|Textiles - Processing||Success: UPDATED in HoldingSecurity.
82|500067|BLUESTARCO|Blue Star|Blue Star Ltd|INE472A01039|Air-conditioners|A|Success: UPDATED in HoldingSecurity.
84|501425|BBTC|Bombay Burmah|Bombay Burmah Trading Corporation Ltd|INE050A01025|Diversified - Large|A|Success: UPDATED in HoldingSecurity.
85|500020|BOMDYEING|Bombay Dyeing|Bombay Dyeing & Manufacturing Company Ltd|INE032A01023|Textiles - Processing|A|Success: UPDATED in HoldingSecurity.
88|500390|RELINFRA|Reliance Infra.|Reliance Infrastructure Ltd|INE036A01016|Engineering - Turnkey Services|T|Success: UPDATED in HoldingSecurity.
90|500488|ABBOTINDIA|Abbott India|Abbott India Ltd|INE358A01014|Pharmaceuticals - Multinational|A|Success: UPDATED in HoldingSecurity.
92|502219|BORORENEW|Borosil Renew.|Borosil Renewables Ltd|INE666D01022|Glass & Glass Products|A|Success: UPDATED in HoldingSecurity.
93|500825|BRITANNIA|Britannia Inds.|Britannia Industries Ltd|INE216A01030|Food - Processing - MNC|A|Success: UPDATED in HoldingSecurity.
99|500084|CESC|CESC|CESC Ltd|INE486A01021|Power Generation And Supply|A|Success: INSERTED in HoldingSecurity.
100|500078|OAL|Oriental Aromat.|Oriental Aromatics Ltd|INE959C01023|Chemicals|B|Success: UPDATED in HoldingSecurity.
101|509486|CAPRIHANS|Caprihans India|Caprihans India Ltd|INE479A01018|Plastics Products|X|Success: UPDATED in HoldingSecurity.
102|509488|GRAPHITE|Graphite India|Graphite India Ltd|INE371A01025|Electrodes - Graphites|A|Success: UPDATED in HoldingSecurity.
103|513375|CARBORUNIV|Carborundum Uni.|Carborundum Universal Ltd|INE120A01034|Abrasives And Grinding Wheels|A|Success: UPDATED in HoldingSecurity.
104|500878|CEATLTD|CEAT|CEAT Ltd|INE482A01020|Tyres|A|Success: UPDATED in HoldingSecurity.
105|509496|ITDCEM|ITD Cem|ITD Cementation India Ltd|INE686A01026|Construction|A|Success: UPDATED in HoldingSecurity.
106|500280|CENTENKA|Century Enka|Century Enka Ltd|INE485A01015|Textiles - Manmade|A|Success: UPDATED in HoldingSecurity.
107|500040|CENTURYTEX|Century Textiles|Century Textiles & Industries Ltd|INE055A01016|Paper|A|Success: UPDATED in HoldingSecurity.
111|500086|EXIDEIND|Exide Inds.|Exide Industries Ltd|INE302A01020|Auto Ancillaries|A|Success: UPDATED in HoldingSecurity.
112|501833|CHOWGULSTM|Chowgule Steam|Chowgule Steamships Ltd|INE490A01015|Shipping|XT|Success: UPDATED in HoldingSecurity.
114|500087|CIPLA|Cipla|Cipla Ltd|INE059A01026|Pharmaceuticals - Indian - Bulk Drugs & Formln|A|Success: UPDATED in HoldingSecurity.
115|506373|CITURGIBIO|Citurgia Biochem|Citurgia Biochemicals Ltd|INE795B01031|Chemicals|B|Success: UPDATED in HoldingSecurity.
116|505052|CLUTCHAUTO|Clutch Auto|Clutch Auto Ltd|INE779B01019|Auto Ancillaries|Z|Success: UPDATED in HoldingSecurity.
117|500089|DICIND|DIC India|DIC India Ltd|INE303A01010|Chemicals|B|Success: UPDATED in HoldingSecurity.
118|500830|COLPAL|Colgate-Palmoliv|Colgate-Palmolive (India) Ltd|INE259A01022|Personal Care - Multinational|A|Success: UPDATED in HoldingSecurity.
119|506390|CLNINDIA|Clariant Chemica|Clariant Chemicals (India) Ltd|INE492A01029|Chemicals|B|Success: UPDATED in HoldingSecurity.
120|507833||Computer Point|Computer Point Ltd|INE607B01012|Trading|XT|Success: UPDATED in HoldingSecurity.
121|532301|TATACOFFEE|Tata Coffee|Tata Coffee Ltd|INE493A01027|Tea|A|Success: UPDATED in HoldingSecurity.
123|506395|COROMANDEL|Coromandel Inter|Coromandel International Ltd|INE169A01031|Fertilizers|A|Success: UPDATED in HoldingSecurity.
124|508814|COSMOFIRST|Cosmo First|Cosmo First Ltd|INE757A01017|Packaging|A|Success: UPDATED in HoldingSecurity.
125|500093|CGPOWER|CG Power & Indu.|CG Power & Industrial Solutions Ltd|INE067A01029|Electric Equipment|A|Success: UPDATED in HoldingSecurity.
128|502820|DCM|DCM|DCM Ltd|INE498A01018|Castings & Forgings|B|Success: UPDATED in HoldingSecurity.
131|500097|DALMIASUG|Dalmia Bharat|Dalmia Bharat Sugar & Industries Ltd|INE495A01022|Sugar|A|Success: UPDATED in HoldingSecurity.
132|519393||Bharatpur Nutri.|Bharatpur Nutritional Products Ltd|INE839C01019|Food - Processing - Indian|X|Success: UPDATED in HoldingSecurity.
134|502137|DECCANCE|Deccan Cements|Deccan Cements Ltd|INE583C01021|Cement - South India|B|Success: UPDATED in HoldingSecurity.
135|500645|DEEPAKFERT|Deepak Fertiliz.|Deepak Fertilizers & Petrochemicals Corp Ltd|INE501A01019|Chemicals|A|Success: UPDATED in HoldingSecurity.
136|506401|DEEPAKNTR|Deepak Nitrite|Deepak Nitrite Ltd|INE288B01029|Chemicals|A|Success: UPDATED in HoldingSecurity.
137|504256||Deltron|Deltron Ltd|INE272R01011|Electronics - Components|P|Success: UPDATED in HoldingSecurity.
140|506405|DHARAMSI|Dharamsi Morarji|Dharamsi Morarji Chemicals Co Ltd|INE505A01010|Chemicals|B|Success: UPDATED in HoldingSecurity.
141|500117|DCW|DCW|DCW Ltd|INE500A01029|Petrochemicals|B|Success: UPDATED in HoldingSecurity.
142|500120||Diamines & Chem.|Diamines & Chemicals Ltd|INE591D01014|Chemicals|X|Success: UPDATED in HoldingSecurity.
145|509130|DUNLOP|Dunlop India|Dunlop India Ltd|INE509A01012|Tyres|XT|Success: UPDATED in HoldingSecurity.
146|506414||Fermenta Biotec.|Fermenta Biotech Ltd|INE225B01021|Pharmaceuticals - Indian - Bulk Drugs|X|Success: UPDATED in HoldingSecurity.
148|500125|EIDPARRY|EID Parry|EID Parry (India) Ltd|INE126A01031|Sugar|A|Success: UPDATED in HoldingSecurity.
149|500126|PGHL|P & G Health Ltd|Procter & Gamble Health Ltd|INE199A01012|Pharmaceuticals - Multinational|A|Success: UPDATED in HoldingSecurity.
150|500840|EIHOTEL|EIH|EIH Ltd|INE230A01023|Hotels|A|Success: UPDATED in HoldingSecurity.
151|505200|EICHERMOT|Eicher Motors|Eicher Motors Ltd|INE066A01021|Automobiles - Motorcycles / Mopeds|A|Success: UPDATED in HoldingSecurity.
152|505700|ELECON|Elecon Engg.Co|Elecon Engineering Company Ltd|INE205B01023|Engineering|A|Success: UPDATED in HoldingSecurity.
154|500128|ELECTCAST|Electrost.Cast.|Electrosteel Castings Ltd|INE086A01029|Castings & Forgings|B|Success: UPDATED in HoldingSecurity.
155|522074|ELGIEQUIP|Elgi Equipments|Elgi Equipments Ltd|INE285A01027|Compressors / Drilling Equipment|A|Success: UPDATED in HoldingSecurity.
156|504000|ELPROINTL|Elpro Internatio|Elpro International Ltd|INE579B01039|Construction|B|Success: UPDATED in HoldingSecurity.
