1003|12/09/2022|BSE|21559|7919.22|7868.31|7868.31|7906.74||111946641|1086480|22350595364|A|
1002|12/09/2022|BSE|21558|18476.34|18353.83|18353.83|18438.06||31595041|635941|15995004102|A|
1001|12/09/2022|BSE|20558|60284.55|59912.29|59912.29|60115.13||14254514|259077|8184744412|A|
543346|12/09/2022|BSE|75753|42.6|41.9|42.15|42||17000|17|716550|A|Success: INSERTED in ClosingValues.
543341|12/09/2022|BSE|7740|12.99|12.2|12.59|12.69||59353|441|748044|A|Warning: CO Code does not exist in system.
543336|12/09/2022|BSE|2038|437.9|417.8|432.8|420.1||624804|1441|265528793|A|Success: INSERTED in ClosingValues.
543335|12/09/2022|BSE|43079|360.4|337|351.2|342.45||45015|1668|15828408|A|Success: INSERTED in ClosingValues.
543334|12/09/2022|BSE|20793|385.7|375|375|382.5||48676|2559|18549944|A|Success: INSERTED in ClosingValues.
543333|12/09/2022|BSE|65036|669|635.4|635.4|662.95||21961|2242|14530428|A|Success: INSERTED in ClosingValues.
543332|12/09/2022|BSE|30111|1567.65|1519.75|1521.05|1547.65||23403|3117|36088727|A|Success: INSERTED in ClosingValues.
543331|12/09/2022|BSE|75660|130.6|127.1|128.15|127.4||147909|1717|19022816|A|Success: INSERTED in ClosingValues.
543330|12/09/2022|BSE|24609|194.6|191.55|194.5|192.65||190699|2901|36788450|A|Success: INSERTED in ClosingValues.
543329|12/09/2022|BSE|36133|241.4|230.05|230.05|238.25||8572|538|2049569|A|Success: INSERTED in ClosingValues.
543328|12/09/2022|BSE|72320|520|510|515|515.35||7216|647|3699892|A|Success: INSERTED in ClosingValues.
543327|12/09/2022|BSE|72749|115.55|112.55|115.55|113.45||6141|229|697012|A|Success: INSERTED in ClosingValues.
543326|12/09/2022|BSE|75766|459.5|447.04|459.5|448.2||4304|33|1928225|A|Warning: CO Code does not exist in system.
543325|12/09/2022|BSE|30245|1999.6|1944|1944|1977.65||9567|1439|18977195|A|Success: INSERTED in ClosingValues.
543324|12/09/2022|BSE|75774|525.55|525.55|525.55|525.55||800|1|420440|A|Success: INSERTED in ClosingValues.
543323|12/09/2022|BSE|75775|18.63|18.35|18.55|18.63||6519|23|119773|A|Success: INSERTED in ClosingValues.
543322|12/09/2022|BSE|75599|442|439.05|440.2|440.25||18350|1379|8080731|A|Success: INSERTED in ClosingValues.
543321|12/09/2022|BSE|75545|2539.9|2460.15|2480|2476.55||1074|584|2684491|A|Success: INSERTED in ClosingValues.
543320|12/09/2022|BSE|68117|63.2|62.25|62.8|62.5||2481445|9464|155456674|A|Success: INSERTED in ClosingValues.
543319|12/09/2022|BSE|75233|5.8|5.53|5.53|5.8||24000|3|135520|A|Success: INSERTED in ClosingValues.
543318|12/09/2022|BSE|66797|1937|1881.1|1925|1886.45||14831|2038|28227213|A|Success: INSERTED in ClosingValues.
543317|12/09/2022|BSE|35408|1377.55|1320.3|1320.35|1371.35||1744|208|2372005|A|Success: INSERTED in ClosingValues.
543311|12/09/2022|BSE|75356|282|278|282|280.1||20144|1263|5646903|A|Success: INSERTED in ClosingValues.
543308|12/09/2022|BSE|34776|1290.1|1225.15|1290.1|1238.35||2310084|7476|2887339445|A|Success: INSERTED in ClosingValues.
543306|12/09/2022|BSE|41771|561.4|535.15|561|540.6||2660|363|1459472|A|Success: INSERTED in ClosingValues.
543300|12/09/2022|BSE|18341|531.2|524.75|528|525.6||107557|5431|56819068|A|Success: INSERTED in ClosingValues.
543299|12/09/2022|BSE|45268|308.1|301.25|308|303.3||14715|800|4474933|A|Success: INSERTED in ClosingValues.
543298|12/09/2022|BSE|71715|60.95|56.5|56.5|60.9||14841|268|894277|A|Success: INSERTED in ClosingValues.
